timestamp,rmssd,coverage,low_frequency,high_frequency
2021-05-19T00:05:00,60.705,0.96,3265.274,1741.396
2021-05-19T00:10:00,43.173,0.977,2664.04,878.207
2021-05-19T00:15:00,34.417,0.952,871.916,450.598
2021-05-19T00:20:00,37.051,0.989,485.69,549.361
2021-05-19T00:25:00,49.121,0.949,1451.827,1290.189
2021-05-19T00:30:00,49.758,0.955,264.96,1423.41
2021-05-19T00:35:00,58.727,0.981,1280.227,1513.292
2021-05-19T00:40:00,40.425,1.002,320.902,631.76
2021-05-19T00:45:00,49.771,1.003,433.766,1144.325
2021-05-19T00:50:00,50.757,1.001,598.435,1130.622
2021-05-19T00:55:00,49.622,1.001,638.77,1067.3
2021-05-19T01:00:00,45.678,1.003,865.781,793.506
2021-05-19T01:05:00,51.413,0.944,691.471,945.485
2021-05-19T01:10:00,68.67,0.95,5088.892,1757.863
2021-05-19T01:15:00,48.607,0.985,1787.391,1012.529
2021-05-19T01:20:00,34.44,0.969,957.025,506.251
2021-05-19T01:25:00,36.948,0.953,1960.811,379.425
2021-05-19T01:30:00,33.691,0.996,1052.563,362.574
2021-05-19T01:35:00,22.546,0.985,334.146,125.029
2021-05-19T01:40:00,31.465,0.976,1488.603,600.709
2021-05-19T01:45:00,48.262,0.932,1919.523,699.219
2021-05-19T01:50:00,63.753,0.961,1339.02,1611.558
2021-05-19T01:55:00,61.141,1.004,439.972,1726.938
2021-05-19T02:00:00,46.96,1.002,272.791,1194.775
2021-05-19T02:05:00,40.811,1.002,406.79,625.522
2021-05-19T02:10:00,42.801,0.984,641.927,707.655
2021-05-19T02:15:00,45.272,1.004,320.649,1008.601
2021-05-19T02:20:00,45.241,1.002,724.165,780.039
2021-05-19T02:25:00,48.933,1.003,603.498,843.592
2021-05-19T02:30:00,62.174,0.942,1058.464,1077.412
2021-05-19T02:35:00,77.143,0.937,2192.256,1659.31
2021-05-19T02:40:00,80.177,0.91,4504.83,1226.898
2021-05-19T02:45:00,76.452,0.914,2334.841,2298.487
2021-05-19T02:50:00,79.844,0.99,1970.142,2355.605
2021-05-19T02:55:00,50.575,0.983,1445.502,543.861
2021-05-19T03:00:00,40.742,0.887,1135.165,269.177
2021-05-19T03:05:00,41.841,1.0,1022.139,348.78
2021-05-19T03:10:00,34.557,0.97,603.18,389.368
2021-05-19T03:15:00,29.418,0.994,1814.729,262.063
2021-05-19T03:20:00,27.84,0.992,1087.915,299.734
2021-05-19T03:25:00,29.24,1.005,559.611,270.308
2021-05-19T03:30:00,29.167,1.003,421.404,255.747
2021-05-19T03:35:00,46.495,0.939,1022.197,409.641
2021-05-19T03:40:00,78.559,0.96,912.573,2307.718
2021-05-19T03:45:00,66.561,0.963,416.439,1917.241
2021-05-19T03:50:00,75.305,1.004,465.227,2391.526
2021-05-19T03:55:00,65.716,1.002,517.451,1811.028
2021-05-19T04:00:00,65.98,1.005,297.443,2055.871
2021-05-19T04:05:00,64.752,1.001,2217.991,1708.457
2021-05-19T04:10:00,69.893,0.991,1845.283,1791.934
2021-05-19T04:15:00,87.717,0.938,3046.728,3256.248
2021-05-19T04:20:00,63.558,0.984,3234.918,1233.601
2021-05-19T04:25:00,54.566,0.933,1872.616,956.522
2021-05-19T04:30:00,32.969,0.992,338.926,210.49
2021-05-19T04:35:00,29.151,1.0,730.663,186.335
2021-05-19T04:40:00,56.131,0.865,4890.445,968.646
2021-05-19T04:45:00,53.336,0.98,4316.752,1220.328
2021-05-19T04:50:00,48.631,0.957,1425.568,587.536
2021-05-19T04:55:00,53.15,0.974,1590.191,1058.249
2021-05-19T05:00:00,41.512,0.999,465.791,539.581
2021-05-19T05:05:00,42.015,0.997,747.149,551.143
2021-05-19T05:10:00,65.873,0.946,2304.366,1622.227
2021-05-19T05:15:00,62.659,0.961,3128.562,1382.394
2021-05-19T05:20:00,42.984,1.0,1210.098,597.502
2021-05-19T05:25:00,45.91,0.961,1112.146,1226.23
2021-05-19T05:30:00,56.349,0.916,1793.96,699.991
2021-05-19T05:35:00,64.219,0.894,4205.902,941.32
2021-05-19T05:40:00,35.817,0.982,1773.194,246.609
2021-05-19T05:45:00,48.351,0.92,2781.757,579.531
2021-05-19T05:50:00,38.315,0.967,2545.554,334.317
2021-05-19T05:55:00,39.392,0.921,1648.854,261.594
2021-05-19T06:00:00,60.264,0.848,2836.524,1094.343
2021-05-19T06:05:00,42.188,0.933,4329.68,401.485
2021-05-19T06:10:00,62.099,0.852,2060.54,1574.155
2021-05-19T06:15:00,56.506,0.958,1134.637,955.175
2021-05-19T06:20:00,59.434,0.96,1531.925,1446.909
2021-05-19T06:25:00,49.143,0.99,2707.317,989.862
2021-05-19T06:30:00,53.82,0.948,3979.292,1040.075
2021-05-19T06:35:00,47.809,0.98,3418.338,478.977
2021-05-19T06:40:00,52.151,0.951,2256.736,1047.442
2021-05-19T06:45:00,61.081,0.85,1633.569,1335.093
2021-05-19T06:50:00,84.459,0.913,2573.645,1625.624
2021-05-19T06:55:00,63.3,0.908,2923.115,1925.075
2021-05-19T07:00:00,68.624,0.904,1820.551,1495.454
2021-05-19T07:05:00,57.659,0.965,1474.326,811.874
2021-05-19T07:10:00,63.873,0.843,3055.18,1057.511
2021-05-19T07:15:00,50.43,0.981,1567.564,723.004
2021-05-19T07:20:00,65.913,0.847,2330.524,1403.091
2021-05-19T07:25:00,53.135,0.986,1137.431,523.926
2021-05-19T07:30:00,53.31,0.958,3228.458,545.912
2021-05-19T07:35:00,39.644,0.988,1015.665,356.652
2021-05-19T07:40:00,37.673,0.97,1230.281,270.422
2021-05-19T07:45:00,63.147,0.937,11917.434,1212.273
2021-05-19T07:50:00,65.975,0.861,6205.227,1580.963
2021-05-19T07:55:00,52.606,0.953,1759.925,858.615
2021-05-19T08:00:00,67.991,0.967,2301.76,2162.188
2021-05-19T08:05:00,68.161,0.937,3368.252,1956.13
2021-05-19T08:10:00,66.963,0.981,2168.791,1387.396
2021-05-19T08:15:00,64.0,0.995,1825.594,1872.92
2021-05-19T08:20:00,53.61,0.85,1672.53,850.662
