timestamp,rmssd,coverage,low_frequency,high_frequency
2021-06-09T00:00:00,63.406,0.998,982.863,1224.502
2021-06-09T00:05:00,64.148,1.001,1089.758,1354.92
2021-06-09T00:10:00,58.981,0.955,2085.706,938.812
2021-06-09T00:15:00,67.746,0.996,1038.348,1487.017
2021-06-09T00:20:00,59.156,1.001,718.294,1108.823
2021-06-09T00:25:00,61.386,1.001,614.932,1129.106
2021-06-09T00:30:00,51.624,0.769,1454.982,645.37
2021-06-09T00:35:00,70.54,0.82,7529.395,1713.754
2021-06-09T00:40:00,55.782,0.997,2138.685,729.675
2021-06-09T00:45:00,53.309,1.002,1301.389,802.842
2021-06-09T00:50:00,67.448,0.975,4318.775,1248.476
2021-06-09T00:55:00,53.821,0.817,2006.107,584.553
2021-06-09T01:00:00,97.149,1.002,912.588,4061.311
2021-06-09T01:05:00,98.634,1.004,1132.673,3365.797
2021-06-09T01:10:00,83.037,0.985,1350.39,2576.933
2021-06-09T01:15:00,78.559,1.004,703.418,2211.645
2021-06-09T01:20:00,81.267,0.986,1161.262,2452.981
2021-06-09T01:25:00,79.295,1.005,1249.168,2109.711
2021-06-09T01:30:00,81.058,1.001,954.114,2357.315
2021-06-09T01:35:00,77.54,1.003,887.314,2364.784
2021-06-09T01:40:00,67.599,0.767,2160.098,550.971
2021-06-09T01:45:00,55.379,0.988,769.197,659.369
2021-06-09T01:50:00,50.317,0.996,1860.717,641.525
2021-06-09T01:55:00,59.647,0.994,1527.066,1207.617
2021-06-09T02:00:00,64.799,0.999,1431.55,1971.833
2021-06-09T02:05:00,80.02,0.96,2674.09,2694.28
2021-06-09T02:10:00,96.904,0.969,7102.638,3312.307
2021-06-09T02:15:00,91.809,0.887,6009.789,2821.458
2021-06-09T02:20:00,121.541,1.002,1550.564,5462.919
2021-06-09T02:25:00,102.463,1.004,1389.979,3815.461
2021-06-09T02:30:00,93.627,1.001,708.131,3016.731
2021-06-09T02:35:00,68.06,0.938,4568.251,1059.42
2021-06-09T02:40:00,62.364,0.836,3537.437,810.489
2021-06-09T02:45:00,100.109,0.958,2025.568,2786.897
2021-06-09T02:50:00,73.734,0.939,2470.396,1126.244
2021-06-09T02:55:00,57.423,1.005,711.821,783.943
2021-06-09T03:00:00,56.711,0.978,1736.963,555.568
2021-06-09T03:05:00,55.377,1.005,754.741,705.178
2021-06-09T03:10:00,52.288,1.002,1700.062,623.484
2021-06-09T03:15:00,51.687,1.005,740.172,482.165
2021-06-09T03:20:00,56.726,0.984,1335.982,862.592
2021-06-09T03:25:00,53.718,1.003,2275.918,599.89
2021-06-09T03:30:00,67.611,0.845,3013.816,1436.607
2021-06-09T03:35:00,33.299,0.986,791.331,351.88
2021-06-09T03:40:00,43.649,0.878,679.769,560.87
2021-06-09T03:45:00,51.447,1.004,1696.721,781.841
2021-06-09T03:50:00,64.202,0.867,2601.719,1054.283
2021-06-09T03:55:00,50.783,0.955,2750.309,448.368
2021-06-09T04:00:00,41.277,0.953,1521.02,348.703
2021-06-09T04:05:00,33.129,1.005,2610.424,264.766
2021-06-09T04:10:00,31.905,0.951,732.44,111.412
2021-06-09T04:15:00,36.997,0.95,696.998,250.904
2021-06-09T04:20:00,61.3,0.91,3222.281,901.263
2021-06-09T04:25:00,51.856,1.003,995.028,821.89
2021-06-09T04:30:00,71.043,0.944,2535.013,1416.647
2021-06-09T04:35:00,90.433,0.962,670.176,3143.002
2021-06-09T04:40:00,65.891,0.937,1423.508,1225.006
2021-06-09T04:45:00,53.212,1.001,2714.557,578.451
2021-06-09T04:50:00,48.737,0.843,1363.574,425.965
2021-06-09T05:00:00,69.945,0.912,3556.325,1559.224
2021-06-09T05:05:00,67.449,1.004,2847.569,1431.278
2021-06-09T05:10:00,75.712,0.986,5673.136,1558.676
2021-06-09T05:15:00,83.241,0.984,6050.039,2206.608
2021-06-09T05:20:00,71.725,0.956,3669.636,1668.022
2021-06-09T05:25:00,50.043,0.975,2198.732,885.768
2021-06-09T05:30:00,60.325,1.0,2257.557,1119.06
2021-06-09T05:35:00,58.777,0.992,2478.228,1366.379
2021-06-09T05:40:00,74.764,0.733,1879.765,1866.532
2021-06-09T05:45:00,80.672,0.894,2631.497,2000.381
2021-06-09T05:50:00,97.229,0.996,2359.697,3927.334
2021-06-09T05:55:00,77.244,0.746,3545.755,1957.154
