timestamp,rmssd,coverage,low_frequency,high_frequency
2021-05-30T00:05:00,68.381,0.855,2069.424,830.602
2021-05-30T00:10:00,83.568,0.985,3066.946,1699.12
2021-05-30T00:15:00,80.073,1.002,1509.574,1712.041
2021-05-30T00:20:00,84.876,0.9,2733.893,1816.672
2021-05-30T00:25:00,111.435,0.748,2709.556,5463.564
2021-05-30T00:30:00,121.117,1.001,5264.89,4347.661
2021-05-30T00:35:00,142.664,0.953,4094.071,8121.719
2021-05-30T00:40:00,94.505,0.979,1563.114,2548.498
2021-05-30T00:45:00,85.703,1.001,3735.76,1875.975
2021-05-30T00:50:00,72.32,0.98,2263.451,1099.758
2021-05-30T00:55:00,74.778,1.005,2476.139,1406.141
2021-05-30T01:00:00,77.099,0.923,7082.213,1427.708
2021-05-30T01:05:00,77.916,0.996,4565.214,2214.023
2021-05-30T01:10:00,42.553,0.995,1889.595,639.73
2021-05-30T01:15:00,43.637,1.0,1014.438,634.757
2021-05-30T01:20:00,54.01,0.947,2509.555,853.845
2021-05-30T01:25:00,30.287,0.937,2108.526,421.987
2021-05-30T01:30:00,34.093,0.939,919.902,249.548
2021-05-30T01:35:00,41.776,0.977,1605.374,517.738
2021-05-30T01:40:00,50.196,0.989,2027.604,732.814
2021-05-30T01:45:00,53.47,0.984,2872.767,1199.489
2021-05-30T01:50:00,39.145,0.998,752.022,399.841
2021-05-30T01:55:00,36.027,0.973,1932.291,345.265
2021-05-30T02:00:00,37.754,0.998,1721.914,310.549
2021-05-30T02:05:00,32.768,1.003,1051.367,264.405
2021-05-30T02:10:00,37.33,0.995,759.201,336.638
2021-05-30T02:15:00,90.507,0.949,1131.758,3441.011
2021-05-30T02:20:00,101.494,0.965,957.942,4120.283
2021-05-30T02:25:00,87.163,1.005,1079.093,2707.558
2021-05-30T02:30:00,79.731,0.997,1639.529,2743.153
2021-05-30T02:35:00,83.496,0.997,1061.201,2463.545
2021-05-30T02:40:00,88.87,1.001,2187.467,2927.531
2021-05-30T02:45:00,92.424,0.998,1548.831,3022.503
2021-05-30T02:50:00,94.323,0.891,5001.75,1788.768
2021-05-30T02:55:00,87.941,0.928,2690.976,1888.615
2021-05-30T03:00:00,101.089,0.991,856.713,3162.471
2021-05-30T03:05:00,102.409,1.002,930.149,4005.985
2021-05-30T03:10:00,102.446,0.99,1009.704,3159.892
2021-05-30T03:15:00,82.674,0.943,1740.371,1876.506
2021-05-30T03:20:00,57.519,0.979,1395.543,929.365
2021-05-30T03:25:00,70.857,0.933,2161.198,1188.218
2021-05-30T03:30:00,87.975,0.898,3094.631,3522.388
2021-05-30T03:35:00,93.212,0.934,1824.457,3417.421
2021-05-30T03:40:00,75.113,0.997,936.926,1680.734
2021-05-30T03:45:00,80.511,0.92,6932.782,1981.211
2021-05-30T03:50:00,71.232,0.968,1787.246,1376.763
2021-05-30T03:55:00,77.985,0.974,3006.982,1440.947
2021-05-30T04:00:00,77.177,0.995,3453.708,1830.562
2021-05-30T04:05:00,101.535,0.997,2135.501,2851.532
2021-05-30T04:10:00,100.883,0.988,1653.835,3645.141
2021-05-30T04:15:00,94.134,0.996,995.698,2881.674
2021-05-30T04:20:00,84.5,0.989,2207.897,2148.786
2021-05-30T04:25:00,88.697,0.873,6102.136,1777.781
2021-05-30T04:30:00,51.648,0.977,1416.209,660.925
2021-05-30T04:35:00,50.242,0.984,11383.721,620.317
2021-05-30T04:40:00,70.419,0.829,3499.575,1060.222
2021-05-30T04:45:00,94.023,0.869,3304.317,1925.429
2021-05-30T04:50:00,90.587,1.006,2578.654,3005.225
2021-05-30T04:55:00,72.167,0.93,1221.671,1184.396
2021-05-30T05:00:00,56.75,0.916,2499.13,762.785
2021-05-30T05:05:00,59.876,0.998,1106.043,921.644
2021-05-30T05:10:00,62.964,0.971,942.46,1038.641
2021-05-30T05:15:00,57.331,0.996,813.712,613.995
2021-05-30T05:20:00,58.316,0.975,1310.521,595.014
2021-05-30T05:25:00,55.595,1.001,1357.902,639.656
2021-05-30T05:30:00,52.302,1.003,1535.653,593.024
2021-05-30T05:35:00,40.132,0.995,827.597,287.569
2021-05-30T05:40:00,28.373,0.991,664.472,111.908
2021-05-30T05:45:00,30.523,0.941,2028.218,133.999
2021-05-30T05:50:00,39.101,0.971,804.584,354.641
2021-05-30T05:55:00,41.199,0.97,4364.204,1474.9
2021-05-30T06:00:00,52.886,0.933,1170.503,501.173
2021-05-30T06:05:00,39.588,0.947,2040.13,305.201
2021-05-30T06:10:00,61.583,0.91,1736.437,665.53
2021-05-30T06:15:00,42.704,0.935,1566.233,330.909
2021-05-30T06:20:00,54.351,0.963,2587.61,606.193
2021-05-30T06:25:00,52.773,0.937,1707.789,629.064
2021-05-30T06:30:00,77.013,0.974,2564.453,1978.817
2021-05-30T06:35:00,73.467,0.995,1079.627,1954.335
2021-05-30T06:40:00,49.105,0.704,2575.977,880.381
