timestamp,rmssd,coverage,low_frequency,high_frequency
2021-06-15T01:05:00,75.031,0.99,3517.963,2803.663
2021-06-15T01:10:00,79.309,0.998,925.044,2158.503
2021-06-15T01:15:00,82.558,0.992,1822.203,2275.531
2021-06-15T01:20:00,92.613,1.003,1344.235,2610.781
2021-06-15T01:25:00,88.73,0.994,1515.067,2750.717
2021-06-15T01:30:00,92.061,0.887,2716.461,1648.158
2021-06-15T01:35:00,92.784,0.998,1763.682,2637.103
2021-06-15T01:40:00,81.796,0.951,1579.86,1974.567
2021-06-15T01:45:00,78.104,1.002,3099.365,1526.687
2021-06-15T01:50:00,75.12,1.005,1873.993,1445.562
2021-06-15T01:55:00,74.755,0.832,5221.768,1433.049
2021-06-15T02:00:00,51.642,0.953,4562.741,576.339
2021-06-15T02:05:00,30.102,0.976,5013.485,346.779
2021-06-15T02:10:00,34.503,0.988,1866.022,322.475
2021-06-15T02:15:00,44.548,0.978,3136.5,686.365
2021-06-15T02:20:00,48.705,0.994,1829.648,685.003
2021-06-15T02:25:00,37.873,1.005,511.602,386.272
2021-06-15T02:30:00,45.003,0.951,1260.06,432.285
2021-06-15T02:35:00,64.759,1.004,1293.541,962.647
2021-06-15T02:40:00,63.841,0.947,1349.748,735.269
2021-06-15T02:45:00,53.109,1.003,1592.51,795.59
2021-06-15T02:50:00,57.701,1.004,1466.642,856.105
2021-06-15T02:55:00,62.849,1.005,1888.972,893.524
2021-06-15T03:00:00,43.981,1.002,1043.659,580.926
2021-06-15T03:05:00,63.229,0.926,7708.793,1136.743
2021-06-15T03:10:00,72.262,1.001,1589.951,1238.506
2021-06-15T03:15:00,67.95,0.992,1401.869,1484.222
2021-06-15T03:20:00,78.591,0.942,6437.378,1666.411
2021-06-15T03:25:00,55.283,0.983,3481.721,638.011
2021-06-15T03:30:00,31.515,0.994,872.073,186.468
2021-06-15T03:35:00,57.168,0.947,3855.805,865.443
2021-06-15T03:40:00,66.802,0.901,4123.65,851.96
2021-06-15T03:45:00,74.553,0.984,1944.417,1363.412
2021-06-15T03:50:00,68.961,0.971,2110.472,1707.543
2021-06-15T03:55:00,65.423,0.996,2681.537,1038.393
2021-06-15T04:00:00,72.129,0.93,3393.934,1284.494
2021-06-15T04:05:00,93.67,0.986,2861.292,3005.393
2021-06-15T04:10:00,90.498,0.988,1351.744,2161.15
2021-06-15T04:15:00,86.012,1.001,2362.228,1973.452
2021-06-15T04:20:00,87.385,1.005,3505.846,2793.804
2021-06-15T04:25:00,76.91,0.918,5253.033,959.746
2021-06-15T04:30:00,66.751,0.929,1565.669,858.001
2021-06-15T04:35:00,68.536,0.912,4795.11,775.382
2021-06-15T04:40:00,67.642,0.911,2354.164,1026.532
2021-06-15T04:45:00,39.861,0.97,1258.897,379.385
2021-06-15T04:50:00,41.777,0.969,2150.353,570.526
2021-06-15T04:55:00,45.0,0.996,1354.871,489.265
2021-06-15T05:00:00,54.578,0.953,1366.021,754.936
2021-06-15T05:05:00,37.45,0.974,1000.84,423.958
2021-06-15T05:10:00,49.687,0.98,2267.024,563.516
2021-06-15T05:15:00,45.214,1.004,887.601,534.952
2021-06-15T05:20:00,66.438,0.913,1646.194,917.027
2021-06-15T05:25:00,68.579,0.922,1600.835,1412.106
2021-06-15T05:30:00,71.797,0.981,2332.38,1679.0
