type,sleep_start,sleep_end,temperature_samples,nightly_temperature,baseline_relative_sample_sum,baseline_relative_sample_sum_of_squares,baseline_relative_nightly_standard_deviation,baseline_relative_sample_standard_deviation
SKIN,2021-05-13T02:03,2021-05-13T08:50:30,408,33.7155637254902,NaN,NaN,NaN,NaN
SKIN,2021-05-14T01:23,2021-05-14T06:24:30,302,33.52061258278146,NaN,NaN,NaN,NaN
SKIN,2021-05-15T00:30,2021-05-15T06:04,334,33.57387724550898,0.0,359.12970396713354,0.10076220434632846,1.0384929366543045
SKIN,2021-05-16T23:35:30,2021-05-17T07:22,466,33.85986051502146,100.25525375719008,381.5207341865171,0.1523743428718612,0.9545927079842672
SKIN,2021-05-18T00:17,2021-05-18T07:42:30,446,33.53640134529148,-16.714251497005534,303.4069307806203,0.14439425290972727,0.9132914857930352
SKIN,2021-05-19T00:01,2021-05-19T08:27,506,32.67727272727273,-444.20048347251577,708.496140350122,0.4141972088465826,0.9790231727175016
SKIN,2021-05-20T01:14:30,2021-05-20T07:46:30,392,33.34480867346939,-75.10432735426002,232.59264939383138,0.3815759600831039,0.9407500945052185
SKIN,2021-05-21T02:34,2021-05-21T07:47,313,33.62948881789137,23.271400539728347,426.65243572869804,0.35824620411427066,0.9766299081195932
SKIN,2021-05-21T22:50,2021-05-22T08:02:30,553,34.401925858951174,457.91088323353324,953.945395902032,0.45417937966303923,1.0575118094002662
SKIN,2021-05-22T23:36:30,2021-05-23T06:47,430,33.400383720930236,-66.54489702209867,423.0644554528408,0.4321412895537447,1.049609614618449
SKIN,2021-05-24T00:56:30,2021-05-24T08:15,438,33.080570776255705,-199.6537892376673,264.19945766427554,0.43531042382368146,1.0208603899719282
SKIN,2021-05-25T01:04,2021-05-25T08:52,468,33.58217948717949,12.654809752690198,353.81521540577523,0.4154169660581725,1.0059496438743105
SKIN,2021-05-27T23:54:30,2021-05-28T05:50,355,33.396239436619716,-49.75747757847421,406.3227076759795,0.3993792761909442,1.0104769401324385
SKIN,2021-05-28T23:24,2021-05-29T06:51,447,33.608501118568235,23.852734956097265,164.8553711741697,0.38449205667565184,0.9823942803942085
SKIN,2021-05-29T21:26:30,2021-05-30T06:45:30,559,32.7095885509839,-462.18835201793627,2048.745298194932,0.42594346087875434,1.102987385496025
SKIN,2021-05-31T00:42,2021-05-31T08:54:30,493,32.94199797160243,-289.1489332699766,932.899406513432,0.43208891431947566,1.121943876736155
SKIN,2021-06-01T00:13:30,2021-06-01T06:10:30,357,33.42200280112045,-35.20369205298084,193.9204713840736,0.4183824710513365,1.1042873983219177
