timestamp,bucket_values
2021-05-13T08:50:30,"[0.0, 0.0, 0.0, 0.001, 0.001, 0.003, 0.005, 0.012, 0.048, 0.179, 0.275, 0.245, 0.139, 0.059, 0.025, 0.007, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-05-14T06:24:30,"[0.0, 0.0, 0.0, 0.0, 0.002, 0.006, 0.005, 0.014, 0.031, 0.101, 0.249, 0.274, 0.17, 0.083, 0.04, 0.017, 0.005, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-05-15T06:04:00,"[0.0, 0.0, 0.0, 0.0, 0.002, 0.006, 0.007, 0.019, 0.044, 0.113, 0.191, 0.212, 0.191, 0.128, 0.065, 0.017, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-05-17T07:22:00,"[0.0, 0.0, 0.0, 0.0, 0.001, 0.005, 0.007, 0.027, 0.135, 0.212, 0.194, 0.167, 0.118, 0.073, 0.038, 0.016, 0.004, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-05-18T07:42:30,"[0.0, 0.0, 0.0, 0.0, 0.003, 0.004, 0.004, 0.029, 0.127, 0.24, 0.262, 0.175, 0.086, 0.04, 0.02, 0.008, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-05-19T08:27:00,"[0.0, 0.0, 0.0, 0.0, 0.002, 0.004, 0.004, 0.013, 0.046, 0.162, 0.24, 0.234, 0.15, 0.076, 0.041, 0.021, 0.006, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-05-20T07:46:30,"[0.0, 0.0, 0.0, 0.0, 0.001, 0.005, 0.009, 0.029, 0.131, 0.196, 0.185, 0.153, 0.122, 0.088, 0.049, 0.022, 0.008, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-05-21T07:47:00,"[0.0, 0.0, 0.0, 0.0, 0.003, 0.005, 0.003, 0.008, 0.032, 0.093, 0.221, 0.22, 0.17, 0.116, 0.075, 0.04, 0.013, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-05-22T02:13:30,"[0.0, 0.0, 0.001, 0.011, 0.022, 0.132, 0.445, 0.343, 0.044, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-05-22T08:02:30,"[0.0, 0.0, 0.001, 0.007, 0.017, 0.087, 0.332, 0.341, 0.133, 0.054, 0.018, 0.006, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-05-23T06:47:00,"[0.0, 0.0, 0.0, 0.0, 0.002, 0.011, 0.043, 0.169, 0.136, 0.17, 0.201, 0.148, 0.073, 0.031, 0.011, 0.005, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-05-24T08:15:00,"[0.0, 0.0, 0.0, 0.0, 0.001, 0.004, 0.004, 0.01, 0.039, 0.115, 0.172, 0.189, 0.195, 0.131, 0.072, 0.043, 0.018, 0.004, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-05-25T08:52:00,"[0.0, 0.0, 0.0, 0.0, 0.003, 0.005, 0.004, 0.014, 0.066, 0.172, 0.2, 0.188, 0.15, 0.1, 0.06, 0.028, 0.008, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-05-28T05:50:00,"[0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.004, 0.009, 0.044, 0.098, 0.16, 0.216, 0.205, 0.133, 0.072, 0.038, 0.013, 0.004, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-05-29T06:51:00,"[0.0, 0.0, 0.0, 0.0, 0.002, 0.006, 0.008, 0.064, 0.145, 0.167, 0.192, 0.189, 0.121, 0.054, 0.03, 0.015, 0.006, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-05-30T06:45:30,"[0.0, 0.0, 0.0, 0.0, 0.001, 0.004, 0.003, 0.006, 0.012, 0.025, 0.066, 0.135, 0.183, 0.191, 0.161, 0.122, 0.068, 0.018, 0.005, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
