timestamp,rmssd,coverage,low_frequency,high_frequency
2021-07-05T00:00:00,58.908,0.995,884.369,1067.137
2021-07-05T00:05:00,55.952,0.995,734.756,1048.629
2021-07-05T00:10:00,64.558,0.943,1936.987,1221.702
2021-07-05T00:15:00,60.928,1.004,1592.985,930.545
2021-07-05T00:20:00,60.378,0.995,1399.068,946.797
2021-07-05T00:40:00,61.666,0.928,1382.743,900.018
2021-07-05T00:55:00,68.302,0.903,2477.425,1126.419
2021-07-05T01:00:00,109.912,1.005,5064.547,4780.81
2021-07-05T01:05:00,87.425,0.909,7943.464,1386.231
2021-07-05T01:10:00,95.957,0.714,1812.736,1346.511
2021-07-05T01:25:00,93.521,1.005,2564.072,2648.251
2021-07-05T01:30:00,79.04,1.001,1643.246,1447.333
2021-07-05T01:35:00,77.673,1.004,1175.767,1641.188
2021-07-05T01:40:00,93.807,0.965,2868.091,2487.658
2021-07-05T01:45:00,84.566,1.004,2608.859,1443.168
2021-07-05T01:50:00,82.816,0.928,11281.86,1555.951
2021-07-05T01:55:00,40.427,1.004,5314.829,508.597
2021-07-05T02:00:00,34.069,1.002,1788.861,310.309
2021-07-05T02:05:00,41.762,1.004,1175.807,472.459
2021-07-05T02:10:00,40.203,0.983,696.861,308.007
2021-07-05T02:15:00,52.455,1.002,631.937,714.693
2021-07-05T02:20:00,58.314,1.003,674.644,1055.227
2021-07-05T02:25:00,59.221,1.005,686.175,961.077
2021-07-05T02:30:00,62.712,0.968,7445.006,921.07
2021-07-05T02:35:00,79.323,1.004,1275.854,1997.71
2021-07-05T02:40:00,72.442,1.002,931.264,1651.215
2021-07-05T02:45:00,69.902,0.996,914.687,1380.49
2021-07-05T02:50:00,73.079,1.006,1132.118,1398.519
2021-07-05T02:55:00,73.946,1.003,1629.919,1367.779
2021-07-05T03:05:00,76.555,0.989,3432.798,1741.219
2021-07-05T03:10:00,87.019,0.938,4879.136,2612.558
2021-07-05T03:15:00,77.108,0.967,6678.656,1422.154
2021-07-05T03:30:00,60.316,0.876,2449.922,1147.694
2021-07-05T03:35:00,66.98,0.711,2278.365,1169.183
2021-07-05T03:40:00,83.1,0.905,4761.35,1314.372
2021-07-05T03:45:00,76.95,0.961,2469.511,1552.46
2021-07-05T03:50:00,77.334,0.94,2626.287,1367.127
2021-07-05T03:55:00,105.822,0.93,1119.644,3045.564
2021-07-05T04:00:00,131.567,0.99,2079.581,7103.988
2021-07-05T04:05:00,117.481,0.986,4252.457,4318.675
2021-07-05T04:10:00,132.567,1.004,934.867,6981.052
2021-07-05T04:15:00,110.623,1.003,1397.918,4411.976
2021-07-05T04:20:00,112.164,0.871,2357.993,3401.219
2021-07-05T04:35:00,126.583,0.718,3894.485,2763.898
2021-07-05T04:40:00,131.665,0.851,1537.879,3939.883
2021-07-05T04:45:00,92.458,0.886,5920.708,3323.948
2021-07-05T04:50:00,79.191,1.004,3264.418,1455.484
2021-07-05T04:55:00,82.935,0.903,2691.596,1440.347
2021-07-05T05:00:00,61.659,1.004,3062.223,1045.208
2021-07-05T05:05:00,55.463,0.953,2932.217,986.536
2021-07-05T05:10:00,39.889,1.005,1818.889,555.767
2021-07-05T05:15:00,58.996,0.94,2224.635,735.716
2021-07-05T05:20:00,64.895,1.005,3947.066,1567.593
2021-07-05T05:25:00,58.451,1.001,2997.082,1602.975
2021-07-05T05:30:00,60.114,1.006,1736.199,1066.037
2021-07-05T05:35:00,59.066,1.003,1417.183,936.213
2021-07-05T05:40:00,52.476,1.003,2507.916,661.356
2021-07-05T05:45:00,59.986,0.966,3588.569,1360.813
2021-07-05T05:50:00,64.899,0.971,1551.085,1310.627
2021-07-05T05:55:00,79.708,0.995,4019.389,2154.797
2021-07-05T06:00:00,97.062,0.998,1546.85,4409.579
2021-07-05T06:05:00,99.602,0.942,1494.518,4280.172
2021-07-05T06:10:00,70.056,1.003,2388.619,1327.967
2021-07-05T06:15:00,81.615,0.997,1805.339,1964.889
2021-07-05T06:20:00,74.357,1.004,2038.61,1776.24
2021-07-05T06:25:00,81.208,0.997,1496.75,2014.887
2021-07-05T06:30:00,81.064,1.005,1063.56,1785.084
2021-07-05T06:35:00,79.747,0.889,1889.937,1269.965
2021-07-05T06:40:00,96.337,0.894,1726.417,2937.128
2021-07-05T06:45:00,61.611,1.002,2970.471,993.646
2021-07-05T06:50:00,66.159,1.003,2814.159,973.956
2021-07-05T06:55:00,78.491,0.93,4020.013,1649.393
2021-07-05T07:00:00,79.589,0.79,4414.994,1606.149
2021-07-05T07:05:00,99.499,0.882,3823.009,3233.623
2021-07-05T07:10:00,77.585,0.916,1351.371,1624.549
2021-07-05T07:15:00,74.453,0.984,1456.967,1327.666
2021-07-05T07:20:00,81.961,0.889,545.222,1546.367
2021-07-05T07:25:00,100.536,0.826,1895.941,1655.951
2021-07-05T07:30:00,80.084,0.859,2058.928,1758.744
2021-07-05T07:35:00,67.237,0.84,2195.612,1272.576
2021-07-05T07:40:00,68.784,0.996,6010.371,1870.695
2021-07-05T07:45:00,73.569,0.936,2263.042,1697.628
2021-07-05T07:50:00,54.86,0.995,1663.71,724.694
2021-07-05T07:55:00,39.42,0.912,807.337,168.956
2021-07-05T08:00:00,53.832,0.909,1497.395,526.466
2021-07-05T08:05:00,56.709,0.962,1452.575,1058.391
2021-07-05T08:10:00,51.583,0.976,2029.215,487.058
2021-07-05T08:30:00,53.233,1.0,1685.353,742.808
2021-07-05T08:35:00,43.875,0.997,1487.867,465.984
2021-07-05T08:40:00,57.04,0.744,2516.747,805.752
