timestamp,rmssd,coverage,low_frequency,high_frequency
2021-06-06T00:20:00,48.055,0.816,1470.013,767.615
2021-06-06T00:25:00,45.0,0.95,231.327,985.918
2021-06-06T00:30:00,38.003,1.003,216.791,801.312
2021-06-06T00:35:00,44.077,1.003,282.684,852.675
2021-06-06T00:40:00,48.404,1.001,567.049,952.316
2021-06-06T00:45:00,54.428,1.004,411.897,1147.727
2021-06-06T00:50:00,59.189,0.921,2540.235,1128.866
2021-06-06T00:55:00,65.772,0.944,2247.388,1161.535
2021-06-06T01:00:00,75.622,0.98,2093.763,2082.372
2021-06-06T01:05:00,65.892,1.0,708.53,1668.067
2021-06-06T01:10:00,54.611,0.997,862.518,1034.486
2021-06-06T01:15:00,66.086,0.906,2933.753,1396.088
2021-06-06T01:20:00,71.869,0.913,6078.891,1707.08
2021-06-06T01:25:00,41.577,1.001,400.325,552.261
2021-06-06T01:30:00,41.153,1.005,261.228,481.9
2021-06-06T01:35:00,59.6,1.003,622.377,1413.074
2021-06-06T01:40:00,66.29,0.92,475.774,1535.317
2021-06-06T01:45:00,69.695,0.959,1072.771,1662.816
2021-06-06T01:50:00,65.668,0.914,978.502,1379.44
2021-06-06T01:55:00,70.726,1.003,1201.278,1434.055
2021-06-06T02:00:00,66.77,0.997,1036.322,1375.421
2021-06-06T02:05:00,74.611,0.891,1099.012,2075.814
2021-06-06T02:10:00,90.87,0.837,4041.081,2153.646
2021-06-06T02:15:00,86.848,0.952,5337.931,2550.982
2021-06-06T02:20:00,85.736,1.001,1036.369,2678.864
2021-06-06T02:25:00,94.851,1.005,1045.59,3276.465
2021-06-06T02:30:00,81.789,1.003,1524.419,2521.81
2021-06-06T02:35:00,69.048,0.992,1541.588,1471.394
2021-06-06T02:40:00,64.89,1.003,1857.005,1467.854
2021-06-06T02:45:00,63.943,1.004,1540.811,1224.181
2021-06-06T02:50:00,69.226,0.961,1836.214,1603.574
2021-06-06T03:00:00,36.723,1.002,1018.49,273.669
2021-06-06T03:05:00,34.486,1.004,1020.859,247.254
2021-06-06T03:10:00,47.105,0.961,2732.739,777.238
2021-06-06T03:15:00,34.084,0.937,1633.308,234.409
2021-06-06T03:20:00,61.547,0.893,3492.834,1022.959
2021-06-06T03:25:00,67.907,1.003,1452.615,2136.098
2021-06-06T03:30:00,62.094,0.969,789.21,1594.127
2021-06-06T03:35:00,57.096,1.005,444.737,1247.789
2021-06-06T03:40:00,62.031,0.94,3033.089,1200.769
2021-06-06T03:45:00,47.15,1.001,799.375,668.693
2021-06-06T03:50:00,51.75,0.997,1264.815,753.695
2021-06-06T03:55:00,52.97,1.003,794.161,695.367
2021-06-06T04:00:00,50.484,1.005,999.455,617.09
2021-06-06T04:05:00,54.781,1.001,2417.741,731.252
2021-06-06T04:10:00,51.898,0.985,720.322,540.35
2021-06-06T04:15:00,58.032,0.99,1021.822,827.102
2021-06-06T04:20:00,65.366,0.929,1855.094,1274.482
2021-06-06T04:25:00,48.777,0.964,660.871,515.771
2021-06-06T04:30:00,39.661,1.005,750.641,352.767
2021-06-06T04:35:00,66.475,0.833,5005.493,1332.187
2021-06-06T04:40:00,66.835,0.994,1118.078,1559.496
2021-06-06T04:45:00,82.225,0.958,754.106,2861.811
2021-06-06T04:50:00,62.816,0.953,1061.486,954.156
2021-06-06T04:55:00,77.237,0.873,4799.693,1939.924
2021-06-06T05:00:00,91.751,0.988,2550.169,3102.384
2021-06-06T05:05:00,95.101,0.871,2364.876,2639.429
2021-06-06T05:10:00,65.593,1.004,2031.914,1157.456
2021-06-06T05:15:00,38.288,0.957,698.085,363.134
2021-06-06T05:20:00,54.049,0.908,3127.528,893.051
2021-06-06T05:25:00,46.209,0.98,2727.676,807.236
2021-06-06T05:30:00,51.406,0.963,630.814,600.153
2021-06-06T05:35:00,35.939,0.918,1942.851,331.218
2021-06-06T05:40:00,70.871,0.993,2323.908,1787.186
2021-06-06T05:45:00,75.511,0.948,2708.394,1972.215
2021-06-06T05:50:00,71.664,0.936,3021.671,1562.494
2021-06-06T05:55:00,63.604,0.998,1324.186,1049.741
2021-06-06T06:00:00,58.42,0.943,1506.807,880.256
2021-06-06T06:05:00,53.183,1.003,1250.532,843.931
2021-06-06T06:10:00,45.241,0.808,974.446,698.352
2021-06-06T06:15:00,61.404,0.868,1426.664,1317.276
