recorded_time,temperature
2021-06-02T00:00,-1.7413076919509543
2021-06-02T00:01,-1.7513076919509558
2021-06-02T00:02,-1.7713076919509554
2021-06-02T00:03,-1.7813076919509534
2021-06-02T00:04,-1.831307691950954
2021-06-02T00:05,-1.916307691950955
2021-06-02T00:06,-1.9713076919509547
2021-06-02T00:07,-1.9713076919509547
2021-06-02T00:08,-2.0163076919509564
2021-06-02T00:09,-2.011307691950954
2021-06-02T00:10,-2.036307691950956
2021-06-02T00:11,-2.051307691950953
2021-06-02T00:12,-2.0913076919509557
2021-06-02T00:13,-2.201307691950955
2021-06-02T00:14,-2.381307691950955
2021-06-02T00:15,-2.6063076919509562
2021-06-02T00:16,-2.7413076919509543
2021-06-02T00:17,-2.9813076919509562
2021-06-02T00:18,-3.0913076919509557
2021-06-02T00:19,-3.3463076919509547
2021-06-02T00:20,-3.551307691950953
2021-06-02T00:21,-3.581307691950954
2021-06-02T00:22,-3.546307691950954
2021-06-02T00:23,-3.5913076919509557
2021-06-02T00:24,-3.4663076919509557
2021-06-02T00:25,-3.3063076919509555
2021-06-02T00:26,-3.2413076919509543
2021-06-02T00:27,-3.0563076919509555
2021-06-02T00:28,-2.9763076919509537
2021-06-02T00:29,-3.041307691950955
2021-06-02T00:30,-3.0213076919509554
2021-06-02T00:31,-2.9313076919509555
2021-06-02T00:32,-2.6063076919509562
2021-06-02T00:33,-2.321307691950956
2021-06-02T00:34,-2.171307691950954
2021-06-02T00:35,-1.9913076919509543
2021-06-02T00:36,-1.9863076919509552
2021-06-02T00:37,-1.9413076919509535
2021-06-02T00:38,-1.8863076919509538
2021-06-02T00:39,-1.7813076919509534
2021-06-02T00:40,-1.8613076919509552
2021-06-02T00:41,-1.9613076919509531
2021-06-02T00:42,-1.9913076919509543
2021-06-02T00:43,-2.0263076919509544
2021-06-02T00:44,-2.1063076919509562
2021-06-02T00:45,-2.0913076919509557
2021-06-02T00:46,-2.1813076919509555
2021-06-02T01:07,-4.481307691950956
2021-06-02T01:08,-4.081307691950954
2021-06-02T01:09,-3.881307691950955
2021-06-02T01:10,-3.6213076919509533
2021-06-02T01:11,-3.3963076919509554
2021-06-02T01:12,-3.2313076919509562
2021-06-02T01:13,-3.086307691950953
2021-06-02T01:14,-2.9413076919509535
2021-06-02T01:15,-2.796307691950954
2021-06-02T01:16,-2.711307691950953
2021-06-02T01:17,-2.636307691950954
2021-06-02T01:18,-2.5313076919509534
2021-06-02T01:19,-2.3913076919509564
2021-06-02T01:20,-2.3063076919509555
2021-06-02T01:21,-2.251307691950956
2021-06-02T01:22,-2.176307691950953
2021-06-02T01:23,-2.131307691950955
2021-06-02T01:24,-2.086307691950953
2021-06-02T01:25,-2.041307691950955
2021-06-02T01:26,-2.001307691950956
2021-06-02T01:27,-1.9663076919509557
2021-06-02T01:28,-1.9313076919509555
2021-06-02T01:29,-1.8963076919509554
2021-06-02T01:30,-1.8913076919509564
2021-06-02T01:31,-1.8663076919509543
2021-06-02T01:32,-1.831307691950954
2021-06-02T01:33,-1.8363076919509531
2021-06-02T01:34,-1.821307691950956
2021-06-02T01:35,-1.796307691950954
2021-06-02T01:36,-1.791307691950955
2021-06-02T01:37,-1.7713076919509554
2021-06-02T01:38,-1.7663076919509564
2021-06-02T01:39,-1.7563076919509548
2021-06-02T01:40,-1.7463076919509533
2021-06-02T01:41,-1.7363076919509552
2021-06-02T01:42,-1.7513076919509558
2021-06-02T01:43,-1.7263076919509537
2021-06-02T01:44,-1.7113076919509531
2021-06-02T01:45,-1.7213076919509547
2021-06-02T01:46,-1.7113076919509531
2021-06-02T01:47,-1.706307691950954
2021-06-02T01:48,-1.6913076919509535
2021-06-02T01:49,-1.6813076919509555
2021-06-02T01:50,-1.6863076919509545
2021-06-02T01:51,-1.5963076919509547
2021-06-02T01:52,-1.3963076919509518
2021-06-02T01:53,-1.1463076919509518
2021-06-02T01:54,-1.0213076919509518
2021-06-02T01:55,-0.9763076919509572
2021-06-02T01:56,-0.9763076919509572
2021-06-02T01:57,-0.9863076919509552
2021-06-02T01:58,-1.0113076919509538
2021-06-02T01:59,-1.041307691950955
2021-06-02T02:00,-1.0213076919509518
