timestamp,rmssd,coverage,low_frequency,high_frequency
2021-07-04T02:30:00,56.232,0.864,1528.497,516.301
2021-07-04T02:40:00,65.849,0.883,984.003,1038.964
2021-07-04T02:45:00,75.411,0.989,1657.726,1756.447
2021-07-04T02:50:00,74.659,1.005,408.869,1854.301
2021-07-04T02:55:00,75.713,0.996,1167.897,1770.634
2021-07-04T03:00:00,64.788,0.998,716.094,1273.039
2021-07-04T03:05:00,66.85,1.001,854.606,1611.851
2021-07-04T03:10:00,66.642,0.997,606.588,1608.833
2021-07-04T03:15:00,69.982,0.984,1041.566,1642.544
2021-07-04T03:20:00,65.615,0.964,1320.424,1111.433
2021-07-04T03:25:00,37.818,0.967,1756.84,350.228
2021-07-04T03:30:00,25.549,1.001,744.909,174.034
2021-07-04T03:35:00,30.66,0.986,1203.087,200.105
2021-07-04T03:40:00,29.734,0.954,1128.068,150.162
2021-07-04T03:45:00,28.423,1.003,1094.65,149.445
2021-07-04T03:50:00,28.257,1.005,806.374,157.008
2021-07-04T03:55:00,34.103,1.002,482.273,304.295
2021-07-04T04:00:00,35.665,1.003,426.53,314.398
2021-07-04T04:05:00,38.601,1.005,926.754,390.786
2021-07-04T04:10:00,40.743,1.002,813.18,377.008
2021-07-04T04:15:00,39.835,1.005,420.611,333.424
2021-07-04T04:20:00,40.771,0.996,488.952,405.333
2021-07-04T04:25:00,43.582,1.001,550.742,353.964
2021-07-04T04:30:00,47.065,1.0,1501.684,392.462
2021-07-04T04:35:00,48.797,1.002,820.621,393.647
2021-07-04T04:40:00,55.35,0.819,5076.242,1081.023
2021-07-04T04:45:00,66.919,0.88,6656.653,1206.12
2021-07-04T04:50:00,76.296,0.944,3305.664,821.552
2021-07-04T04:55:00,74.877,0.888,2110.108,1231.138
2021-07-04T05:00:00,75.883,0.982,882.798,1449.189
2021-07-04T05:05:00,96.586,0.99,2006.37,2791.549
2021-07-04T05:10:00,92.283,0.953,993.74,2170.036
2021-07-04T05:15:00,69.29,0.976,1767.16,1192.528
2021-07-04T05:20:00,66.524,0.998,4750.757,731.464
2021-07-04T05:25:00,56.879,0.956,3109.691,578.175
2021-07-04T05:30:00,62.561,0.921,1390.258,617.179
2021-07-04T05:35:00,67.545,0.947,1952.185,810.368
2021-07-04T05:40:00,55.032,0.983,6360.202,850.122
2021-07-04T05:45:00,53.612,0.96,2605.658,641.267
2021-07-04T05:50:00,62.963,0.984,886.11,885.137
2021-07-04T05:55:00,77.354,1.002,695.369,1442.982
2021-07-04T06:00:00,76.75,0.989,1086.036,1096.611
2021-07-04T06:05:00,73.712,0.992,927.237,1006.294
2021-07-04T06:10:00,69.516,1.004,913.018,1089.181
2021-07-04T06:15:00,90.847,0.765,7929.811,1653.342
2021-07-04T06:20:00,135.32,0.831,3192.771,2719.4
2021-07-04T06:25:00,113.822,0.819,1694.818,1772.46
2021-07-04T06:30:00,73.984,0.955,3963.22,1754.341
2021-07-04T06:35:00,51.61,0.976,1906.91,615.702
2021-07-04T06:40:00,51.714,1.003,1543.88,745.666
2021-07-04T06:45:00,58.175,0.99,1891.896,818.738
2021-07-04T06:50:00,59.955,0.956,4008.337,526.095
2021-07-04T06:55:00,60.85,0.902,1737.123,804.874
2021-07-04T07:00:00,43.369,1.005,708.682,359.727
2021-07-04T07:05:00,65.579,0.983,1870.656,820.966
2021-07-04T07:10:00,85.191,0.902,4312.349,1961.549
2021-07-04T07:15:00,101.574,0.979,1375.459,3336.461
2021-07-04T07:20:00,96.627,0.792,2359.573,1642.124
2021-07-04T07:25:00,77.533,0.986,2690.584,1828.495
2021-07-04T07:30:00,101.269,1.003,926.603,3088.318
2021-07-04T07:35:00,87.223,0.997,958.911,2690.893
2021-07-04T07:40:00,83.889,0.977,1481.116,2402.271
2021-07-04T07:45:00,91.188,0.742,5495.728,1762.176
2021-07-04T07:50:00,81.53,0.978,3595.634,1840.785
2021-07-04T07:55:00,63.508,0.977,1547.76,1146.312
2021-07-04T08:00:00,62.111,0.952,3369.851,908.458
2021-07-04T08:05:00,47.47,1.003,1654.351,602.554
2021-07-04T08:10:00,47.083,1.005,1686.741,581.791
2021-07-04T08:15:00,59.279,0.954,4221.474,691.519
2021-07-04T08:20:00,65.573,0.916,2920.233,890.102
2021-07-04T08:25:00,69.588,0.972,2426.369,1522.095
2021-07-04T08:30:00,76.139,0.923,3445.222,2107.578
2021-07-04T08:35:00,76.742,0.925,1868.648,1901.801
2021-07-04T08:40:00,82.712,0.854,5718.641,1898.542
2021-07-04T08:45:00,78.133,0.935,2306.481,1829.526
2021-07-04T08:50:00,81.834,0.881,4324.806,1563.702
2021-07-04T08:55:00,95.11,0.872,3269.612,2465.513
2021-07-04T09:10:00,67.491,0.909,1333.228,1352.271
2021-07-04T09:15:00,61.037,0.862,3101.591,641.974
2021-07-04T09:20:00,67.329,0.915,1203.39,835.417
2021-07-04T09:30:00,61.491,0.933,1520.804,1135.284
2021-07-04T23:35:00,38.541,0.911,979.497,501.246
2021-07-04T23:40:00,54.111,1.003,845.517,932.435
2021-07-04T23:45:00,61.788,1.002,740.219,1301.512
2021-07-04T23:50:00,63.538,1.004,749.797,1358.162
2021-07-04T23:55:00,60.07,1.002,493.879,1290.515
