timestamp,rmssd,coverage,low_frequency,high_frequency
2021-06-03T00:45:00,104.609,0.986,5455.142,3301.766
2021-06-03T00:50:00,99.403,1.003,2921.698,3428.871
2021-06-03T00:55:00,98.967,1.001,1928.39,3603.792
2021-06-03T01:00:00,113.73,0.999,2747.435,4193.721
2021-06-03T01:05:00,114.106,0.993,3347.851,4053.253
2021-06-03T01:10:00,102.439,0.949,1838.939,3035.931
2021-06-03T01:15:00,114.74,0.95,5832.32,5692.782
2021-06-03T01:20:00,65.817,0.994,1497.026,1831.271
2021-06-03T01:25:00,57.675,0.992,1163.887,1128.039
2021-06-03T01:30:00,74.559,0.931,3707.315,2443.479
2021-06-03T01:35:00,76.587,0.959,2121.686,1619.754
2021-06-03T01:40:00,72.382,1.0,2042.681,1879.863
2021-06-03T01:45:00,68.926,0.917,3269.191,1147.439
2021-06-03T01:50:00,101.656,0.92,3822.354,3853.149
2021-06-03T01:55:00,102.955,0.994,5150.605,3772.071
2021-06-03T02:00:00,113.265,0.997,2766.325,5041.627
2021-06-03T02:05:00,91.624,1.002,2887.656,2775.788
2021-06-03T02:10:00,91.212,1.002,2131.825,2492.175
2021-06-03T02:15:00,98.092,1.005,4086.285,3292.754
2021-06-03T02:20:00,95.351,1.003,5517.09,2769.264
2021-06-03T02:25:00,92.695,1.002,2351.543,3267.377
2021-06-03T02:30:00,90.814,0.833,5989.626,1479.883
2021-06-03T02:35:00,81.721,0.925,13619.276,1841.053
2021-06-03T02:40:00,45.164,0.974,924.913,506.206
2021-06-03T02:45:00,50.35,1.003,2749.878,898.738
2021-06-03T02:50:00,66.641,0.908,1700.166,1493.073
2021-06-03T02:55:00,75.177,0.975,1436.195,1285.26
2021-06-03T03:00:00,93.853,0.983,6000.646,2610.966
2021-06-03T03:05:00,88.336,0.931,1933.049,2138.702
2021-06-03T03:10:00,103.675,0.996,1432.587,3357.423
2021-06-03T03:15:00,118.24,1.005,1042.532,4793.006
2021-06-03T03:20:00,114.603,0.946,2589.421,3897.803
2021-06-03T03:25:00,84.184,0.714,4369.459,983.752
2021-06-03T03:30:00,103.055,0.903,2110.091,3375.864
2021-06-03T03:35:00,87.046,0.959,1952.689,3288.997
2021-06-03T03:40:00,51.689,0.957,2511.806,547.993
2021-06-03T03:45:00,61.741,0.875,2639.633,498.691
2021-06-03T03:50:00,55.505,0.922,3198.014,588.397
2021-06-03T03:55:00,39.631,0.985,960.441,313.757
2021-06-03T04:00:00,38.103,0.94,2615.968,230.887
2021-06-03T04:05:00,43.227,1.002,852.185,387.904
2021-06-03T04:10:00,36.089,0.994,1960.702,262.479
2021-06-03T04:15:00,57.294,0.836,3121.626,926.715
2021-06-03T04:20:00,53.461,1.002,4465.55,1157.899
2021-06-03T04:25:00,56.37,0.995,2023.18,774.914
2021-06-03T04:30:00,51.783,0.986,3008.9,649.133
2021-06-03T04:35:00,61.633,0.969,1220.964,1056.556
2021-06-03T04:40:00,87.415,0.984,3261.141,2711.415
2021-06-03T04:45:00,108.301,0.86,5591.824,3627.695
2021-06-03T04:50:00,115.514,0.975,3003.505,4412.208
2021-06-03T04:55:00,103.762,0.934,1344.335,4228.027
2021-06-03T05:00:00,83.653,0.978,912.091,2068.348
2021-06-03T05:05:00,74.228,0.997,854.911,1904.257
2021-06-03T05:10:00,75.769,1.003,2129.238,1920.557
2021-06-03T05:15:00,70.135,0.997,1269.919,1660.494
2021-06-03T05:20:00,70.517,1.004,703.135,1427.97
2021-06-03T05:25:00,65.246,1.004,750.106,1304.911
2021-06-03T05:30:00,69.719,0.987,944.288,1329.1
2021-06-03T05:35:00,76.626,0.903,4075.386,1948.589
2021-06-03T05:40:00,46.502,0.976,777.972,580.951
2021-06-03T05:45:00,41.156,0.92,639.831,321.101
2021-06-03T05:50:00,61.705,0.906,2584.224,696.323
2021-06-03T05:55:00,72.31,0.937,652.287,1492.499
2021-06-03T06:00:00,91.025,0.906,1926.349,2391.829
2021-06-03T06:05:00,86.71,0.905,942.917,2999.167
2021-06-03T06:10:00,82.922,0.841,3823.0,1801.82
2021-06-03T06:15:00,73.864,0.935,3189.355,1947.45
2021-06-03T23:10:00,56.063,0.91,2178.658,858.008
2021-06-03T23:15:00,67.576,0.99,1846.755,1557.069
2021-06-03T23:20:00,74.162,0.71,1665.728,1955.975
2021-06-03T23:25:00,64.434,0.913,2626.665,1210.151
2021-06-03T23:30:00,48.369,0.992,2776.283,692.576
2021-06-03T23:35:00,56.403,1.005,1255.019,884.475
2021-06-03T23:40:00,58.472,1.002,1522.282,946.036
2021-06-03T23:45:00,50.25,0.999,1475.986,616.827
2021-06-03T23:50:00,51.562,0.972,1824.551,711.543
2021-06-03T23:55:00,60.17,0.998,5711.332,1230.675
