timestamp,rmssd,coverage,low_frequency,high_frequency
2021-06-02T01:05:00,35.879,0.802,819.748,452.024
2021-06-02T01:10:00,51.281,0.876,1826.674,1151.879
2021-06-02T01:15:00,49.551,0.927,2578.846,963.521
2021-06-02T01:20:00,50.562,1.002,512.615,869.238
2021-06-02T01:25:00,62.644,1.003,1466.46,1426.294
2021-06-02T01:30:00,58.664,0.993,869.64,1003.846
2021-06-02T01:35:00,66.116,1.004,747.087,1431.97
2021-06-02T01:40:00,72.646,1.004,1255.153,2020.57
2021-06-02T01:45:00,76.104,0.933,1748.301,2144.506
2021-06-02T01:50:00,103.314,0.94,4310.117,4421.489
2021-06-02T01:55:00,69.678,0.825,2237.583,1330.063
2021-06-02T02:00:00,73.749,0.941,2873.364,1719.056
2021-06-02T02:05:00,62.061,1.004,1112.049,2048.407
2021-06-02T02:10:00,73.66,1.001,2096.313,1671.119
2021-06-02T02:15:00,97.354,0.997,1509.897,3718.783
2021-06-02T02:20:00,100.582,1.003,682.087,3969.036
2021-06-02T02:25:00,73.417,1.003,989.341,1988.764
2021-06-02T02:30:00,69.329,0.955,1002.15,1361.688
2021-06-02T02:35:00,83.855,1.005,841.632,2160.995
2021-06-02T02:40:00,76.391,1.003,468.088,1462.199
2021-06-02T02:45:00,75.027,1.003,1374.205,1879.157
2021-06-02T02:50:00,88.109,0.954,1327.632,2968.145
2021-06-02T02:55:00,85.262,0.958,1844.95,2227.475
2021-06-02T03:00:00,92.495,0.86,1449.243,3257.115
2021-06-02T03:05:00,76.336,0.989,2086.524,1712.178
2021-06-02T03:10:00,67.59,1.004,690.586,1156.669
2021-06-02T03:15:00,75.409,0.97,1079.523,1244.331
2021-06-02T03:20:00,91.339,1.003,1097.638,3155.774
2021-06-02T03:25:00,62.565,0.806,7447.068,650.515
2021-06-02T03:30:00,68.271,0.993,2673.238,1581.124
2021-06-02T03:35:00,51.381,0.98,853.492,838.755
2021-06-02T03:40:00,65.017,0.996,2393.249,960.545
2021-06-02T03:45:00,68.513,0.942,3665.772,1375.693
2021-06-02T03:50:00,94.767,1.005,1654.603,2720.152
2021-06-02T03:55:00,94.975,1.003,2825.083,2766.274
2021-06-02T04:00:00,93.263,0.957,2207.002,2335.758
2021-06-02T04:05:00,114.115,0.968,6653.687,3517.595
2021-06-02T04:10:00,114.505,0.923,1732.041,4523.679
2021-06-02T04:15:00,69.242,1.004,783.827,1226.819
2021-06-02T04:20:00,96.507,1.002,1807.469,2927.569
2021-06-02T04:25:00,93.973,1.003,1172.738,2579.656
2021-06-02T04:30:00,88.617,0.956,1327.018,2274.376
2021-06-02T04:35:00,83.356,0.989,6886.371,2880.999
2021-06-02T04:40:00,42.69,0.926,1971.679,348.319
2021-06-02T04:45:00,28.802,1.0,3092.245,180.153
2021-06-02T04:50:00,30.576,0.984,1044.727,130.127
2021-06-02T04:55:00,35.989,0.969,1505.67,166.489
2021-06-02T05:00:00,45.023,0.913,3547.061,291.275
2021-06-02T05:05:00,48.854,1.003,1031.024,474.848
2021-06-02T05:10:00,34.544,0.994,1510.742,307.927
2021-06-02T05:15:00,41.543,1.002,566.066,390.791
2021-06-02T05:20:00,53.809,1.004,508.022,563.962
2021-06-02T05:25:00,59.323,0.949,2029.397,1136.044
2021-06-02T05:30:00,91.373,1.004,845.949,2738.797
2021-06-02T05:35:00,58.316,0.941,918.447,703.566
2021-06-02T05:40:00,44.655,1.0,718.287,416.58
2021-06-02T05:45:00,42.667,1.003,425.064,321.442
2021-06-02T05:50:00,46.551,1.003,794.73,411.932
2021-06-02T05:55:00,69.782,0.881,5271.025,1007.654
2021-06-02T06:00:00,67.337,0.982,2000.383,1169.104
2021-06-02T06:05:00,65.313,0.976,3019.391,1446.33
2021-06-02T06:10:00,44.603,0.974,2832.495,282.108
2021-06-02T06:15:00,61.017,0.948,2470.917,657.631
2021-06-02T06:20:00,61.47,1.003,4531.442,887.589
2021-06-02T06:25:00,50.259,0.978,1955.703,494.72
2021-06-02T06:30:00,74.321,1.0,5780.566,1293.967
2021-06-02T06:35:00,62.882,1.003,1980.508,858.671
2021-06-02T06:40:00,66.659,1.002,4276.833,1212.652
2021-06-02T06:45:00,78.125,0.8,2736.675,1696.93
