type,sleep_start,sleep_end,temperature_samples,nightly_temperature,baseline_relative_sample_sum,baseline_relative_sample_sum_of_squares,baseline_relative_nightly_standard_deviation,baseline_relative_sample_standard_deviation
SKIN,2021-07-01T00:46,2021-07-01T07:22,396,32.4932702020202,-189.82109756097452,542.5926130157895,0.6125132940726912,1.3195408983849815
SKIN,2021-07-02T04:00,2021-07-02T08:09:30,250,33.50904,134.1058980044363,398.7458871182753,0.6214911700695998,1.3181853997160755
SKIN,2021-07-02T22:56:30,2021-07-03T08:46:30,590,32.162025423728814,-478.24868070953016,1234.0193734327331,0.637213519448988,1.3293149056985065
SKIN,2021-07-04T02:26,2021-07-04T09:40:30,435,32.8662183908046,-34.5373437499984,205.19163784652483,0.6082399472673887,1.3123096438765618
SKIN,2021-07-04T23:27:30,2021-07-05T08:44,556,32.94383992805755,3.637978807091713E-12,207.06507675372995,0.5972346370512426,1.2918409315072459
SKIN,2021-07-07T02:35:30,2021-07-07T08:41:30,366,32.31965846994535,-214.24567235177165,1652.481969252578,0.6153985305080923,1.3250704500438168
