timestamp,bucket_values
2021-07-01T07:22:00,"[0.0, 0.0, 0.0, 0.0, 0.001, 0.003, 0.004, 0.009, 0.029, 0.086, 0.098, 0.113, 0.133, 0.149, 0.14, 0.132, 0.072, 0.023, 0.007, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-07-02T08:09:30,"[0.0, 0.0, 0.0, 0.0, 0.002, 0.004, 0.005, 0.006, 0.015, 0.041, 0.105, 0.142, 0.144, 0.124, 0.102, 0.099, 0.101, 0.064, 0.029, 0.009, 0.002, 0.001, 0.001, 0.001, 0.001, 0.001, 0.0, 0.001, 0.001]"
2021-07-03T08:46:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.003, 0.008, 0.013, 0.031, 0.086, 0.15, 0.175, 0.148, 0.122, 0.111, 0.087, 0.045, 0.014, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-07-04T09:40:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.002, 0.005, 0.007, 0.027, 0.072, 0.109, 0.172, 0.195, 0.161, 0.12, 0.086, 0.027, 0.009, 0.004, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-07-05T08:44:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.004, 0.008, 0.014, 0.043, 0.087, 0.143, 0.175, 0.161, 0.147, 0.123, 0.069, 0.018, 0.004, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-07-07T08:41:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.003, 0.006, 0.008, 0.015, 0.025, 0.083, 0.182, 0.223, 0.175, 0.114, 0.081, 0.058, 0.02, 0.004, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
