date_time,heart_zone_id,total_minutes
2021-06-01T06:54,FAT_BURN,1
2021-06-01T06:55,FAT_BURN,1
2021-06-01T06:56,FAT_BURN,1
2021-06-01T06:57,FAT_BURN,1
2021-06-01T06:58,FAT_BURN,1
2021-06-01T06:59,FAT_BURN,1
2021-06-01T07:00,FAT_BURN,1
2021-06-01T07:01,FAT_BURN,1
2021-06-01T07:02,FAT_BURN,1
2021-06-01T07:03,FAT_BURN,1
2021-06-01T07:04,FAT_BURN,1
2021-06-01T07:06,FAT_BURN,1
2021-06-01T14:59,FAT_BURN,1
2021-06-01T15:01,FAT_BURN,1
2021-06-01T15:02,FAT_BURN,1
2021-06-01T15:03,FAT_BURN,1
2021-06-01T15:25,FAT_BURN,1
2021-06-01T15:26,FAT_BURN,1
2021-06-01T15:27,FAT_BURN,1
2021-06-01T15:28,FAT_BURN,1
2021-06-02T07:36,FAT_BURN,1
2021-06-02T07:47,FAT_BURN,1
2021-06-02T07:48,FAT_BURN,1
2021-06-02T07:49,FAT_BURN,1
2021-06-02T07:50,FAT_BURN,1
2021-06-02T07:51,FAT_BURN,1
2021-06-02T07:52,FAT_BURN,1
2021-06-02T07:53,FAT_BURN,1
2021-06-02T07:54,FAT_BURN,1
2021-06-02T07:55,FAT_BURN,1
2021-06-02T08:05,FAT_BURN,1
2021-06-02T08:06,FAT_BURN,1
2021-06-02T08:07,FAT_BURN,1
2021-06-02T08:08,FAT_BURN,1
2021-06-02T08:09,FAT_BURN,1
2021-06-02T10:32,FAT_BURN,1
2021-06-02T10:33,FAT_BURN,1
2021-06-02T10:34,FAT_BURN,1
2021-06-02T10:39,FAT_BURN,1
2021-06-02T10:40,FAT_BURN,1
2021-06-02T10:41,FAT_BURN,1
2021-06-02T10:42,FAT_BURN,1
2021-06-02T10:43,FAT_BURN,1
2021-06-02T10:44,FAT_BURN,1
2021-06-02T10:45,FAT_BURN,1
2021-06-02T10:46,FAT_BURN,1
2021-06-02T10:47,FAT_BURN,1
2021-06-02T10:48,FAT_BURN,1
2021-06-02T10:49,FAT_BURN,1
2021-06-02T10:50,FAT_BURN,1
2021-06-02T10:51,FAT_BURN,1
2021-06-02T10:52,FAT_BURN,1
2021-06-02T10:53,FAT_BURN,1
2021-06-02T10:54,FAT_BURN,1
2021-06-02T10:55,FAT_BURN,1
2021-06-02T10:56,FAT_BURN,1
2021-06-02T11:12,FAT_BURN,1
2021-06-02T11:15,FAT_BURN,1
2021-06-02T11:16,FAT_BURN,1
2021-06-02T11:17,FAT_BURN,1
2021-06-02T11:18,FAT_BURN,1
2021-06-02T11:19,FAT_BURN,1
2021-06-02T11:20,FAT_BURN,1
2021-06-02T11:21,FAT_BURN,1
2021-06-02T11:22,FAT_BURN,1
2021-06-02T11:23,FAT_BURN,1
2021-06-02T11:24,CARDIO,2
2021-06-02T11:25,CARDIO,2
2021-06-02T11:26,FAT_BURN,1
2021-06-02T11:27,FAT_BURN,1
2021-06-02T11:28,FAT_BURN,1
2021-06-02T11:29,CARDIO,2
2021-06-02T11:30,CARDIO,2
2021-06-02T11:31,CARDIO,2
2021-06-02T11:32,FAT_BURN,1
2021-06-02T11:33,FAT_BURN,1
2021-06-02T11:34,FAT_BURN,1
2021-06-02T11:35,FAT_BURN,1
