date_time,heart_zone_id,total_minutes
2021-05-13T10:51,FAT_BURN,1
2021-05-13T10:52,FAT_BURN,1
2021-05-13T10:53,FAT_BURN,1
2021-05-13T10:58,FAT_BURN,1
2021-05-13T10:59,CARDIO,2
2021-05-13T11:00,CARDIO,2
2021-05-13T11:01,FAT_BURN,1
2021-05-13T11:02,FAT_BURN,1
2021-05-13T11:03,FAT_BURN,1
2021-05-13T11:15,FAT_BURN,1
2021-05-13T11:16,FAT_BURN,1
2021-05-13T11:17,FAT_BURN,1
2021-05-13T11:18,FAT_BURN,1
2021-05-13T11:19,FAT_BURN,1
2021-05-13T11:20,FAT_BURN,1
2021-05-13T11:32,FAT_BURN,1
2021-05-13T11:33,FAT_BURN,1
2021-05-13T11:34,FAT_BURN,1
2021-05-13T11:35,FAT_BURN,1
2021-05-13T11:36,FAT_BURN,1
2021-05-13T11:38,FAT_BURN,1
2021-05-13T11:39,FAT_BURN,1
2021-05-13T11:40,FAT_BURN,1
2021-05-13T11:43,FAT_BURN,1
2021-05-13T15:05,FAT_BURN,1
2021-05-13T15:06,FAT_BURN,1
2021-05-13T15:07,FAT_BURN,1
2021-05-13T15:28,FAT_BURN,1
2021-05-13T15:29,FAT_BURN,1
2021-05-13T15:30,FAT_BURN,1
2021-05-13T15:31,FAT_BURN,1
2021-05-13T15:32,FAT_BURN,1
2021-05-13T15:33,FAT_BURN,1
2021-05-13T15:34,FAT_BURN,1
2021-05-13T15:35,FAT_BURN,1
2021-05-13T15:36,FAT_BURN,1
2021-05-13T15:37,FAT_BURN,1
2021-05-13T15:38,FAT_BURN,1
2021-05-13T15:41,FAT_BURN,1
2021-05-13T15:43,FAT_BURN,1
2021-05-13T15:44,FAT_BURN,1
2021-05-13T15:45,CARDIO,2
2021-05-13T15:46,CARDIO,2
2021-05-13T15:47,CARDIO,2
2021-05-13T15:48,CARDIO,2
2021-05-13T15:49,FAT_BURN,1
2021-05-13T15:50,FAT_BURN,1
2021-05-13T15:51,FAT_BURN,1
2021-05-13T15:52,FAT_BURN,1
2021-05-13T15:53,FAT_BURN,1
2021-05-13T15:54,FAT_BURN,1
2021-05-13T15:57,FAT_BURN,1
2021-05-13T15:58,FAT_BURN,1
2021-05-14T18:54,FAT_BURN,1
2021-05-14T18:55,FAT_BURN,1
2021-05-14T18:59,FAT_BURN,1
2021-05-14T19:00,FAT_BURN,1
2021-05-14T19:01,FAT_BURN,1
2021-05-14T19:02,FAT_BURN,1
2021-05-14T19:03,FAT_BURN,1
2021-05-14T19:04,FAT_BURN,1
2021-05-14T19:05,FAT_BURN,1
2021-05-14T19:06,FAT_BURN,1
2021-05-14T19:07,FAT_BURN,1
2021-05-14T19:08,FAT_BURN,1
2021-05-14T19:09,FAT_BURN,1
2021-05-14T19:10,FAT_BURN,1
2021-05-14T19:11,FAT_BURN,1
2021-05-14T19:12,FAT_BURN,1
2021-05-14T19:13,FAT_BURN,1
